Ref,Body_Style,Doors,Cab_Config,Bed_Length_in,Bed_Volume_cuft,Roof_Height,Wheelbase_in,Length_in,Width_in,Height_in,Track_Front_in,Track_Rear_in,Ground_Clearance_in,Approach_Angle_deg,Departure_Angle_deg,Breakover_Angle_deg,Drag_Coefficient,Cargo_Volume_cuft,Cargo_Volume_Max_cuft,Fuel_Capacity_gal,Seating_Rows
nhtsa-aston-martin-db7-coupe-2dr-102-2,Coupe,2,,,,,102,183.9,72,48.8,,,,,,,,,,,
nhtsa-aston-martin-db9-body-2dr-107-9,,2,,,,,107.9,185,74,52,,,,,,,,,,,
nhtsa-aston-martin-db9-body-2dr-107-9-2,,2,,,,,107.9,185,74,50,,,,,,,,,,,
nhtsa-aston-martin-db9-coupe-2dr-107-9,Coupe,2,,,,,107.9,185,74,52,,,,,,,,,,,
nhtsa-aston-martin-db9-coupe-2dr-107-9-2,Coupe,2,,,,,107.9,185,74,50,,,,,,,,,,,
nhtsa-aston-martin-db9-coupe-2dr-107-9-3,Coupe,2,,,,,107.9,185,74,50,61.8,61.4,,,,,,,,,
nhtsa-aston-martin-dbs-body-110-6,,,,,,,110.6,185.4,76.4,50.4,65.4,64.6,,,,,,,,,
nhtsa-aston-martin-dbs-body-2dr-107-9,,2,,,,,107.9,185.8,74,50.4,,,,,,,,,,,
nhtsa-aston-martin-dbs-body-2dr-107-9-2,,2,,,,,107.9,185.8,75.2,50.4,,,,,,,,,,,
nhtsa-aston-martin-dbs-convertible-2dr-110-6,Convertible,2,,,,,110.6,185.4,76.4,50.4,65.4,64.6,,,,,,,,,
nhtsa-aston-martin-dbs-coupe-2dr-107-9,Coupe,2,,,,,107.9,185.8,75.2,50.4,,,,,,,,,,,
nhtsa-aston-martin-dbs-coupe-2dr-110-6,Coupe,2,,,,,110.6,185.4,76.4,50.4,65.4,64.6,,,,,,,,,
nhtsa-aston-martin-dbx-suv-4dr-120-5,SUV,4,,,,,120.5,198.4,78.7,66.1,,,,,,,,,,,
nhtsa-aston-martin-lagonda-body-115,,,,,,,115,208.7,71.7,51.2,,,,,,,,,,,
nhtsa-aston-martin-rapide-sedan-4dr-117-7,Sedan,4,,,,,117.7,197.6,76,53.5,,,,,,,,,,,
nhtsa-aston-martin-v8-coupe-102-8,Coupe,,,,,,102.8,189.4,72,52.4,,,,,,,,,,,
nhtsa-aston-martin-v8-vantage-convertible-2dr-102-4,Convertible,2,,,,,102.4,172.4,73.6,49.6,,,,,,,,,,,
nhtsa-aston-martin-v8-vantage-coupe-2dr-102-4,Coupe,2,,,,,102.4,172.4,73.6,49.6,,,,,,,,,,,
nhtsa-aston-martin-vanquish-body-2dr-107-9,,2,,,,,107.9,185.8,75.2,50.8,,,,,,,,,,,
nhtsa-aston-martin-vanquish-coupe-2dr-105-9,Coupe,2,,,,,105.9,183.9,75.6,52,,,,,,,,,,,
nhtsa-aston-martin-vanquish-coupe-2dr-107-9,Coupe,2,,,,,107.9,185.8,75.2,50.4,,,,,,,,,,,
nhtsa-aston-martin-vanquish-coupe-2dr-113-8,Coupe,2,,,,,113.8,192.5,80.3,50.8,66.1,65.7,,,,,,,,,
